,ID,Questions,Right_answer1,Right_answer2,Right_answer3,Right_answer4,Wrong_answer1,Wrong_answer2,Wrong_answer3
0,1,what is list,collection  of elements which are ordered and can be changed is defined as list,Lists are mutable i.e they can be edited,"List is a mutable, or changeable, ordered sequence of element",A list is a collection which is ordered and changeable.,A list is a collection which is unordered and unchangeable.,Lists are immutable i.e they can not be edited,"List is a immutable, or changeable, ordered sequence of element"
1,2,what is tuple,A tuple is a sequence of immutable Python objects,tuples are used to store immutable object,A Python tuple is just like a list of a sequence of immutable objects,the tuples cannot be changed ,the tuples are mutable,tuples are used to store mutable object,A Python tuple is just like a list of a sequence of mutable objects
2,3,what is dictionary,"Dictionary in Python is an mutable, unordered collection of data values,Dictionary holds key:value pair.","A dictionary is a collection which is unordered, changeable and they have keys and values"," A Python dictionary is a mapping of unique keys to values. Dictionaries are mutable, which means they can be changed",A dictionary consists of a collection of key-value pairs. Each key-value pair maps the key to its associated value,A dictionary consists of a collection of index-value pairs. Each index-value pair maps the key to its associated value,"A dictionary is a collection which is ordered, changeable and they have index and values"," A Python dictionary is a mapping of similar keys to values. Dictionaries are mutable, which means they can be changed"
3,4,what is lambda function,"A lambda function is a small anonymous function,but can only have one expression",Lambda is a single expression anonymous function often used as inline function,lambda functions is very small and consists of only one expression,Small anonymous functions can be created with the lambda keyword,Small unanonymous functions can be created with the lambda keyword,Lambda is a single expression unanonymous function often used as inline function,lambda functions is very small and consists of only two expression
4,5,what is decorator,A Python decorator is a specific change that we make in Python syntax to alter functions easily,Python has an interesting feature called decorators to add functionality to an existing code,Decorators allow you to make simple modifications to callable objects like functions,Decorators are functions which modify the functionality of other functions,Decorators are functions which will not change the functionality of other functions,Python has an interesting feature called decorators to delete functionality to an existing code,Decorators prevents you to make simple modifications to callable objects like functions
5,6,what is pdb,The module pdb defines an interactive source code debugger for Python programs.,Python has a built-in debugger called pdb,pdb implements an interactive debugging environment for Python programs,"pdb, short for python debugger is a standard built-in module used to debug python code interactively","pdb, short for java debugger is a standard built-in module used to debug java code interactively",java has a built-in debugger called pdb,pdb implements an interactive debugging environment for java programs
6,7,what is Django,"Django is a free and open source web application framework written in Python,which follows the model-view-template (MVT) architectural 
","Django is a high-level Python Web framework that encourages rapid development and clean, pragmatic design", Django is an MVT web framework used to build web applications,Django is a web framework built with the Python programming language,Django is a web framework built with the java programming language,"Django is a low-level java Web framework that encourages rapid development and clean, pragmatic design", Django is an MVT game framework used to build game applications
7,8,What is Map function,Map applies a function to all the items in an input_list,"map() function returns a list of the results after applying the given function to each item of a given iterable (list, tuple etc.)",The map() function calls the specified function for each item of an iterable,The map() built-in function returns an iterator after applying the function to each item in the sequence,The map() built-in function returns an value or after applying the function to each item in the sequence,"map() function returns a dictionary of the results after applying the given function to each item of a given iterable (list, tuple etc.)",The map() function calls the any function for each item of an iterable
8,9,what is PIP,PIP is a package manager for installing  Python packages, pip command is a tool for installing and managing Python packages,Pip is a python package management system which can also be used to install various software written in python,"Pip is a package management system, used to install and manage software packages written in Python","Pip is a package management system, used to install and unmanage software packages written in Python", pip command is a tool for uninstalling and managing Python packages,Pip is a python package management system which can also be used to uninstall various software written in python
9,10,what is Python ,"Python is a widely used general-purpose, dynamic, extensible, high-level programming language",Python is an interpreted objectoriented programming language,"Python is an interpreted, high-level, general-purpose programming language",Python is an open-source programming language that is high level and works as a general purpose language,Python is an close-source programming language that is low level and works as a general purpose language,Python is an interpreted objectoriented designing language,"Python is an interpreted, high-level, general-purpose designing language"
10,11,what is Encapsulation,Encapsulation means wrapping the implementation of data member and methods inside a class,prevent data from direct modification which is called encapsulation," Encapsulation. In an object oriented python program, you can restrict access to methods and variables. This can prevent the data from being modified by accident and is known as encapsulation",Encapsulation is the packing of data and functions operating on that data into a single component and restricting the access to some of the object's components,Encapsulation is the packing of data and functions operating on that data into a double component and allowing the access to some of the object's components,allow  data from direct modification which is called encapsulation," Encapsulation. In an object oriented python program, you can allow access to methods and variables. This can allow the data from being modified by accident and is known as encapsulation"
11,12,what is Abtraction,Abstraction means hiding the complexity and only showing the essential features of the object,Abstraction is used to hide internal details and show only functionalities.,"Abstraction means, showcasing only the required things to the outside world while hiding the details.",Abstraction  hides the background details and emphasizes the essential data points for reducing the complexity and increase efficiency,Abstraction show  the background details and emphasizes the essential data points for reducing the complexity and increase efficiency,Abstraction is used to hide external details and show only functionalities.,"Abstraction means, showcasing only the required things to the outside world while showing the details."
12,13,what is Inheritance, a class is derived from another class inheriting its features.,the child class inherits the attributes and methods of the parent class,Python inheritance means creating a new class that inherits all functionalities from parent class & allows to add more,Inheritance allows us to define a class that inherits all the methods and properties from another class,Inheritance allows us to define a class that inherits all the methods and properties from same class,the child class inherits the attributes and methods of the child class,Python inheritance means creating a new class that inherits all functionalities from any class & allows to add more
13,14,what is Polymorphism,Polymorphism means that different types respond to the same function,polymorphism means same function name (but different signatures) being uses for different types,polymorphism means same function name (but different signatures) being uses for different types,Polymorphism is the concept where an object behaves differently in different situations,Polymorphism is the concept where an object behaves same in different  situations,polymorphism means different function name (but different signatures) being uses for  different types,polymorphism means different function name (but different signatures) being uses for different types
14,15,what is slice function,"The slice() constructor creates a slice object representing the set of indices specified by range(start, stop, step)","A slice object is used to specify how to slice a sequence. You can specify where to start the slicing, and where to end. You can also specify the step, which allows you to e.g. slice only every other item.","slice=[start index,end index,step] and retives the elements from start to end index","A mechanism to select a range of items from sequence types like list, tuple, strings etc. is known as slicing.","A mechanism to deselect a range of items from sequence types like list, tuple, strings etc. is known as slicing.","A slice object is used to specify how to join a sequence. You can specify where to start the join, and where to end. You can also specify the step, which allows you to e.g. join only every other item.","slice=[start index,end index,step] and join the elements from start to end index"
15,16,what is PEP8,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable.",PEP 8 is defined as a document that helps us to provide the guidelines on how to write the Python code,PEP 8: a set of rules to format and improve codes readability., a document that tell us to provide the guidelines on how to write the Python code is PEP8, a document that tell us to provide the guidelines on how to write the java code is PEP8,PEP 8 is defined as a document that helps us to provide the guidelines on how to write the java code,PEP 8: a set of rules to format and degrades codes readability.
16,17,what is Pickling,Pickling - is the process whereby a Python object hierarchy is converted into a byte stream,pickling :used to convert python object  into a binary stream ,The Python pickle is defined as a module which accepts any Python object and converts it into a string representation.,"Pip is a package management system, used to install and manage software packages written in Python",pickling is define as tool to convert python object  into a analog stream ,pickling :used to convert python object  into a analog stream ,The Python pickle is defined as a module which accepts any Python object and converts it into a analog representation.
17,18,what is difference between list and tuple,Lists are mutable i.e they can be edited whereas Tuples are immutable ,"list element and size can be changed(mutable), but a tuple cannot",The difference between list and tuple is that a list is mutable while tuple is not, lists are mutable whereas tuples are immutable, lists are mutable whereas tuples are mutable,"list element and size can be unchanged(immutable), but a tuple cannot",The difference between list and tuple is that a list is immutable while tuple is not
18,19,what is Set,"A Set is an unordered collection data type that is iterable, mutable, and has no duplicate elements",a set is a data structure that stores unordered items,SET is unordered collections of unique elements, Set can be defined as the unordered collection of various items , Set can be defined as the ordered collection of various items ,a set is a data structure that stores ordered items,SET is unordered collections of unique elements
19,20,what is virtual environment,virtual environment will keep different project environments isolated,virtual environment  is  used to create an isolated workspace for a Python application.,Virtual environment  is a tool which allows us to make isolated python environments,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating isolated python virtual environments for them,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating unisolated python virtual environments for them, virtual environment  is used to create an unisolated workspace for a Python application.,Virtual environment  is a tool which prevents us to make isolated python environments
